10000,6
20000,6
30000,11
40000,13
50000,15
60000,19
70000,28
80000,28
90000,27
100000,31
110000,36
120000,41
130000,58
140000,59
150000,57
160000,60
170000,66
180000,67
190000,76
200000,79
210000,100
220000,125
230000,104
240000,107
250000,122
260000,140
270000,127
280000,188
290000,152
300000,190
310000,193
320000,235
330000,194
340000,203
350000,210
360000,204
370000,225
380000,222
390000,247
400000,243
410000,258
420000,268
430000,286
440000,283
450000,335
460000,335
470000,314
480000,285
490000,338
500000,341
510000,419
520000,447
530000,384
540000,388
550000,435
560000,437
570000,417
580000,510
590000,473
600000,511
610000,498
620000,530
630000,540
640000,547
650000,702
660000,600
670000,821
680000,615
690000,585
700000,626
710000,774
720000,644
730000,692
740000,675
750000,775
760000,693
770000,710
780000,756
790000,765
800000,736
810000,799
820000,795
830000,839
840000,916
850000,872
860000,787
870000,873
880000,837
890000,859
900000,930
910000,1021
920000,1001
930000,923
940000,901
950000,911
960000,976
970000,947
980000,1031
990000,948
1000000,1019
