10000,4
20000,5
30000,6
40000,12
50000,11
60000,14
70000,16
80000,20
90000,24
100000,25
110000,28
120000,38
130000,41
140000,43
150000,44
160000,44
170000,50
180000,61
190000,60
200000,65
210000,119
220000,84
230000,83
240000,94
250000,98
260000,106
270000,116
280000,138
290000,120
300000,142
310000,134
320000,154
330000,170
340000,184
350000,176
360000,184
370000,184
380000,195
390000,195
400000,210
410000,211
420000,220
430000,244
440000,239
450000,269
460000,256
470000,255
480000,218
490000,284
500000,284
510000,326
520000,352
530000,331
540000,349
550000,364
560000,377
570000,445
580000,322
590000,415
600000,403
610000,366
620000,408
630000,463
640000,419
650000,490
660000,389
670000,559
680000,490
690000,501
700000,497
710000,488
720000,463
730000,549
740000,580
750000,465
760000,451
770000,592
780000,670
790000,662
800000,630
810000,681
820000,712
830000,716
840000,580
850000,880
860000,690
870000,622
880000,681
890000,601
900000,745
910000,762
920000,790
930000,654
940000,770
950000,845
960000,818
970000,925
980000,692
990000,797
1000000,700
