10000,14
20000,7
30000,16
40000,8
50000,16
60000,19
70000,21
80000,10
90000,42
100000,19
110000,15
120000,46
130000,19
140000,10
150000,27
160000,15
170000,43
180000,40
190000,61
200000,20
210000,15
220000,17
230000,37
240000,23
250000,10
260000,46
270000,87
280000,75
290000,23
300000,116
310000,98
320000,68
330000,83
340000,19
350000,88
360000,85
370000,119
380000,99
390000,18
400000,17
410000,160
420000,99
430000,86
440000,84
450000,70
460000,38
470000,69
480000,6
490000,64
500000,146
510000,98
520000,208
530000,44
540000,89
550000,196
560000,72
570000,37
580000,5
590000,93
600000,91
610000,241
620000,55
630000,177
640000,171
650000,75
660000,234
670000,231
680000,134
690000,289
700000,179
710000,84
720000,105
730000,110
740000,87
750000,240
760000,16
770000,563
780000,158
790000,211
800000,143
810000,194
820000,184
830000,372
840000,207
850000,223
860000,103
870000,140
880000,177
890000,194
900000,359
910000,47
920000,92
930000,267
940000,127
950000,100
960000,234
970000,233
980000,270
990000,185
1000000,136
